Respondent,Brand,Filling,Natural ,Fibre,Sweet,Easy ,Salt ,Satisfying ,Energy ,Fun ,Kids ,Soggy,Economical,Health,Family,Calories,Plain,Crisp,Regular,Sugar,Fruit,Process,Quality,Treat,Boring,Nutritious
121,Sustain,5,5,5,5,5,3,5,5,5,5,5,1,5,5,2,1,5,5,4,4,4,4,5,1,5
122,Just Right,5,5,3,4,5,2,5,4,3,3,3,4,5,4,4,2,3,3,2,4,3,5,3,1,4
122,Kellogg's Corn Flakes,4,5,3,2,4,3,4,3,2,3,4,4,5,3,3,4,3,2,2,1,3,5,3,1,4
123,NutriGrain,5,4,5,2,5,2,5,5,5,5,1,5,5,4,2,3,5,5,2,1,3,4,4,1,5
123,Sustain,5,5,5,2,5,2,5,5,5,5,1,5,5,5,1,1,5,5,1,2,2,5,5,1,5
125,Vitabrit,5,5,4,2,5,2,5,5,1,4,2,3,5,3,1,2,2,4,1,1,2,5,3,3,5
125,Special K ,5,4,4,3,3,2,4,4,1,2,2,2,4,2,1,1,3,2,1,1,2,3,2,2,3
127,Komplete,5,4,3,2,4,2,4,3,1,2,1,2,4,3,3,2,2,4,2,3,2,3,2,2,4
127,Cerola Muesli,4,3,2,3,4,3,3,3,1,2,2,4,4,3,2,2,3,4,3,2,2,3,2,2,4
200,Purina Muesli,3,4,4,2,4,1,3,2,2,1,2,2,4,1,2,1,3,3,2,2,2,4,3,1,4
200,Komplete,3,4,4,3,4,1,3,4,2,1,3,2,4,1,2,2,3,3,2,2,2,3,2,1,4
200,Rice Bubbles,3,4,2,1,5,1,3,2,4,5,2,4,3,5,2,3,3,2,1,1,4,3,2,4,2
201,Kellogg's Corn Flakes,2,1,1,2,2,1,2,2,4,4,1,4,1,5,4,1,4,1,2,1,4,2,4,1,1
202,Weetbix,4,4,5,1,5,1,4,3,2,4,2,3,4,4,2,4,4,4,1,1,4,5,3,2,5
202,Kellogg's Corn Flakes,2,4,3,3,5,3,4,4,2,4,2,3,3,4,3,1,4,3,4,1,5,4,3,2,3
203,Weetbix,4,4,4,2,5,2,5,3,3,5,3,5,5,5,1,3,2,5,2,1,1,4,2,1,4
203,Komplete,5,4,4,3,5,2,5,3,3,2,1,2,3,3,4,1,3,3,1,4,2,4,3,1,4
204,Purina Muesli,5,5,5,4,5,2,5,5,3,5,1,5,5,5,2,1,5,4,2,3,1,5,5,1,5
204,Rice Bubbles,3,3,2,1,4,2,4,3,3,4,4,4,3,4,2,2,5,2,1,1,1,2,3,3,4
205,Purina Muesli,5,5,3,3,5,1,5,5,3,4,2,4,4,4,3,1,4,4,3,3,2,4,4,1,4
205,Special K ,3,3,4,2,5,1,4,4,3,4,2,4,4,4,3,4,4,3,2,1,3,4,3,3,4
206,Special K ,4,3,3,2,5,3,4,4,1,3,1,3,5,5,3,4,5,1,3,1,3,5,5,1,3
206,All Bran,3,5,5,1,5,1,3,3,1,1,1,3,5,3,1,1,5,5,3,1,3,5,3,1,5
206,Komplete,5,5,3,5,5,3,5,5,3,3,1,3,5,3,5,1,5,3,3,3,3,5,5,1,5
207,Kellogg's Corn Flakes,4,5,4,1,5,1,4,3,1,5,3,4,4,4,3,3,4,2,1,1,1,3,2,1,3
207,Rice Bubbles,2,4,3,1,5,1,2,2,1,4,3,3,3,4,3,3,2,2,2,1,3,3,2,3,4
208,Vitabrit,5,5,4,1,5,1,5,5,5,5,5,5,5,5,1,2,1,5,1,1,2,5,3,3,5
208,NutriGrain,5,3,3,3,5,1,5,5,5,5,1,5,4,5,1,1,5,3,1,1,3,5,5,1,5
209,NutriGrain,4,3,3,4,4,1,4,4,3,5,2,2,3,5,4,1,4,2,4,1,4,3,4,1,3
209,Rice Bubbles,3,4,2,2,5,1,3,3,3,5,2,4,3,5,2,2,4,2,1,1,2,4,2,1,2
210,Kellogg's Corn Flakes,4,5,4,2,5,1,4,5,2,5,3,4,5,5,1,2,3,3,1,1,3,4,3,1,4
210,Rice Bubbles,5,5,4,2,5,1,4,4,3,5,3,4,4,5,1,3,4,3,2,1,3,4,4,1,4
211,Weetbix,3,3,3,2,3,3,4,4,2,5,5,4,3,5,3,3,2,4,2,1,5,3,1,3,3
211,Komplete,4,5,5,3,3,2,3,5,2,2,4,1,5,2,3,2,3,5,3,4,2,5,2,3,5
212,Komplete,2,4,4,2,2,2,4,4,3,1,2,2,4,2,2,3,2,2,2,2,2,3,2,2,4
212,Kellogg's Corn Flakes,2,2,1,1,2,2,2,1,2,1,1,2,3,2,3,2,1,1,2,1,2,3,1,2,1
213,Purina Muesli,4,4,4,3,5,3,4,4,5,2,4,4,4,3,3,4,4,4,3,3,3,3,3,4,4
213,Just Right,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,4,3,3,3,3,3,3,3
214,Vitabrit,5,5,5,2,4,1,5,5,2,5,3,5,5,5,4,3,3,5,1,1,5,5,3,3,5
214,Rice Bubbles,3,1,1,2,2,2,3,3,3,3,2,3,2,5,4,4,3,1,3,1,5,2,3,3,2
215,Sustain,4,4,4,2,4,2,4,4,1,3,2,3,5,4,1,1,4,1,1,4,2,4,2,1,4
215,Just Right,2,3,3,2,3,2,2,2,1,1,2,2,4,2,1,2,2,1,1,2,2,4,1,1,3
216,All Bran,3,4,4,3,4,2,3,3,1,3,2,3,3,3,2,2,3,4,2,1,5,3,2,2,3
216,Cerola Muesli,3,2,2,4,4,3,3,3,1,3,2,3,3,2,4,3,3,3,4,2,5,3,2,3,3
216,NutriGrain,3,1,2,5,3,4,3,4,2,3,3,2,1,2,5,3,2,1,5,1,5,1,1,5,1
217,All Bran,5,5,5,1,1,1,5,4,1,3,1,5,5,3,2,1,2,5,1,1,4,5,3,3,4
217,NutriGrain,5,4,3,4,5,3,5,5,5,5,1,5,3,5,4,1,5,3,3,1,4,5,5,1,4
301,Purina Muesli,5,4,4,3,5,3,4,4,2,4,2,2,5,3,4,4,4,3,3,3,3,4,2,2,4
301,Vitabrit,4,4,4,2,4,2,4,4,2,4,3,4,4,2,2,3,3,2,1,1,3,4,1,2,4
302,Sustain,3,3,3,2,3,1,4,4,3,3,1,3,4,4,2,2,2,3,1,4,2,4,3,1,4
302,NutriGrain,4,2,2,4,3,2,4,4,3,5,1,2,2,3,4,1,2,3,4,1,2,1,4,1,2
303,Weetbix,4,4,4,2,5,2,3,3,1,4,4,4,4,5,3,4,1,4,2,1,3,4,1,1,5
303,All Bran,4,4,5,1,5,2,4,4,1,2,1,3,4,4,2,1,1,5,3,1,2,4,1,1,4
304,NutriGrain,4,4,4,2,5,2,4,4,3,4,1,4,4,5,3,2,4,5,1,1,3,4,2,1,4
304,Special K ,3,3,4,4,5,1,4,4,2,3,3,3,4,5,3,2,4,5,2,1,3,4,1,3,4
304,Rice Bubbles,2,2,1,2,5,1,3,3,3,3,3,3,3,5,1,2,3,3,1,1,3,4,3,2,4
305,Sustain,3,4,4,2,5,2,4,4,2,4,2,3,4,4,3,2,4,4,2,3,3,4,3,1,4
305,Komplete,4,4,4,2,5,2,4,4,2,3,2,2,4,4,4,2,2,4,2,3,3,4,3,1,4
306,Weetbix,4,5,4,1,5,1,3,3,1,3,2,3,3,3,1,2,2,2,1,1,2,4,1,2,4
307,Purina Muesli,4,4,5,4,4,3,4,4,5,5,1,3,3,4,4,1,5,5,4,3,2,4,5,1,4
307,Cerola Muesli,4,4,4,5,4,3,4,3,5,5,1,3,4,5,4,1,5,3,4,3,2,4,5,1,4
308,Vitabrit,4,4,4,1,4,1,3,4,2,3,3,3,4,4,1,2,2,3,1,1,3,4,2,3,4
308,Weetbix,4,4,4,1,4,1,3,4,2,3,3,3,4,4,1,2,2,3,1,1,3,4,2,3,4
309,Just Right,5,4,4,3,4,2,5,4,1,3,1,2,4,4,4,1,4,4,3,3,4,4,3,1,4
309,Weetbix,5,5,4,1,2,2,3,4,1,3,3,3,4,4,3,2,3,4,2,1,3,4,1,4,4
310,Weetbix,4,3,3,2,4,2,3,3,1,4,3,2,3,4,2,2,1,2,2,1,3,3,1,3,3
310,Vitabrit,3,3,3,2,4,2,3,3,1,4,3,2,3,4,3,3,2,2,2,1,3,3,1,4,3
311,Just Right,4,3,3,3,5,3,4,3,4,5,1,1,3,5,4,1,1,3,3,2,3,3,4,1,3
311,Vitabrit,4,4,3,1,5,2,3,3,1,3,2,5,3,3,3,5,3,3,1,1,2,1,1,5,3
312,Vitabrit,5,4,3,1,5,2,3,3,2,3,2,4,4,3,3,4,1,2,1,1,3,4,1,2,4
312,Cerola Muesli,4,5,3,3,4,1,3,4,3,2,2,3,4,2,4,2,1,1,2,3,3,4,2,3,3
313,Weetbix,4,4,4,1,4,1,3,3,2,4,1,4,4,3,1,4,4,4,2,1,2,4,2,3,4
313,Komplete,3,4,4,3,4,1,3,4,4,3,1,2,3,2,3,4,4,4,3,4,4,3,3,1,4
314,NutriGrain,4,3,2,4,5,3,4,4,5,5,1,3,3,5,3,2,5,3,5,1,5,3,3,1,3
314,Sustain,4,4,4,3,5,3,5,4,3,2,2,1,4,2,3,1,3,2,3,4,3,4,3,3,4
314,Just Right,3,4,4,1,5,3,4,4,2,2,2,3,4,2,3,3,3,3,2,3,4,4,2,3,3
315,Komplete,4,4,4,3,3,3,3,4,2,3,1,2,4,3,3,3,1,5,3,3,4,4,1,3,4
315,Just Right,3,3,3,3,4,3,3,4,2,3,1,2,4,4,3,2,3,4,3,1,4,3,3,2,3
316,Vitabrit,4,3,4,2,5,2,4,3,1,4,3,3,4,4,2,3,3,3,1,1,3,3,1,3,3
316,All Bran,4,3,3,2,5,2,4,3,3,5,4,3,3,5,2,3,2,2,1,1,3,3,2,3,3
316,Purina Muesli,5,4,3,4,5,2,5,4,3,2,2,1,2,3,4,1,4,2,4,3,3,3,3,1,3
317,Sustain,5,4,4,2,5,2,5,5,2,4,2,1,4,4,2,1,5,4,2,3,2,4,3,2,4
401,Rice Bubbles,3,4,2,2,5,2,4,3,3,5,3,3,4,5,2,3,4,2,2,1,1,4,2,2,4
401,Kellogg's Corn Flakes,4,4,3,2,5,2,4,4,2,5,4,3,4,5,2,3,4,3,1,1,1,5,3,3,4
402,Vitabrit,4,4,4,2,4,2,5,5,1,4,1,5,5,3,2,1,5,3,1,1,3,4,3,1,4
402,Rice Bubbles,3,2,2,4,5,3,3,2,5,5,1,2,2,3,3,1,5,1,5,1,5,2,1,3,3
402,Purina Muesli,5,4,4,4,5,3,5,5,5,1,1,3,5,2,3,1,4,4,3,4,3,4,5,1,4
403,Special K ,4,3,4,1,5,2,4,4,1,3,2,4,4,4,3,3,3,3,1,1,4,3,1,1,4
404,Kellogg's Corn Flakes,3,4,2,2,5,2,4,3,1,5,1,5,3,4,2,2,4,2,1,1,1,3,1,1,2
404,Rice Bubbles,2,4,2,2,5,2,3,2,1,4,1,5,2,4,2,2,4,2,1,1,1,2,1,2,2
405,Vitabrit,5,4,4,2,5,2,4,3,4,4,4,4,4,5,3,4,2,3,2,1,4,4,4,2,4
405,Just Right,5,4,4,3,5,3,4,4,3,4,3,2,4,5,3,2,2,4,3,4,3,4,4,1,4
406,Vitabrit,4,4,4,1,4,1,4,4,2,5,4,4,4,4,3,2,3,3,1,1,3,4,2,1,4
406,Just Right,4,4,4,1,4,1,4,4,2,4,2,4,4,4,2,1,4,4,2,3,2,4,2,2,4
407,Vitabrit,4,4,4,2,5,3,4,3,2,5,2,5,4,4,3,2,4,3,2,1,5,4,4,2,4
407,Kellogg's Corn Flakes,2,2,1,3,4,4,3,2,2,5,1,4,2,4,4,3,4,1,4,1,5,3,4,2,3
408,Kellogg's Corn Flakes,4,3,3,3,5,4,5,3,2,5,1,5,4,5,3,3,4,4,4,1,4,3,3,3,4
408,NutriGrain,4,3,3,2,5,4,4,3,2,5,1,5,3,5,3,2,4,3,4,1,4,3,3,3,3
409,Weetbix,4,4,3,2,4,2,4,4,2,5,3,4,4,5,3,3,2,2,2,1,4,3,2,1,3
409,Kellogg's Corn Flakes,2,3,2,2,2,2,3,3,2,4,3,3,3,4,3,3,4,2,2,1,4,4,2,3,3
410,Special K ,4,3,4,2,5,1,4,4,3,4,1,3,3,5,3,1,3,2,2,1,3,3,2,1,3
501,Purina Muesli,4,4,4,4,4,1,4,4,3,4,1,2,3,4,4,2,4,4,3,3,1,3,2,2,4
501,Rice Bubbles,2,3,3,1,4,1,2,2,2,3,1,3,3,3,2,4,4,3,1,1,1,2,1,1,2
502,Kellogg's Corn Flakes,4,4,3,2,4,3,4,4,3,3,1,3,3,5,3,2,4,3,2,1,1,3,1,2,3
503,Special K ,4,4,5,2,5,2,5,4,3,5,1,2,5,5,2,1,5,3,1,1,4,4,3,1,4
503,Rice Bubbles,3,4,3,1,5,1,3,4,4,5,1,3,4,5,1,3,5,2,1,1,4,3,3,1,4
504,Vitabrit,5,4,4,1,5,1,4,4,3,4,3,5,5,5,2,3,3,3,1,1,5,4,2,2,4
504,Just Right,3,3,4,2,5,1,4,3,3,4,2,1,4,5,1,1,2,3,2,2,5,4,3,4,4
505,All Bran,5,4,5,3,5,2,5,4,3,4,2,4,4,4,2,3,3,4,2,1,2,4,1,3,5
505,Kellogg's Corn Flakes,4,3,3,4,5,3,4,4,4,5,2,4,4,4,3,1,5,2,3,1,3,4,3,1,4
505,Rice Bubbles,4,3,3,3,5,2,4,4,4,5,1,4,3,5,3,3,5,3,3,1,3,4,4,1,4
506,All Bran,3,4,5,1,5,1,3,2,2,1,2,3,5,1,3,2,3,5,2,1,4,5,1,2,4
506,Cerola Muesli,5,4,4,4,5,3,4,5,3,4,1,2,3,5,5,1,4,4,4,2,4,4,2,1,4
507,Weetbix,5,5,5,2,5,2,5,5,2,5,5,3,5,5,3,5,5,5,1,1,3,5,3,1,5
507,NutriGrain,5,4,4,1,5,3,5,5,5,5,2,2,4,5,3,3,5,2,2,1,4,3,5,1,4
508,Special K ,4,3,3,3,4,3,4,3,2,3,4,2,3,5,3,2,4,2,2,1,2,3,2,2,3
508,All Bran,4,4,4,2,4,2,4,3,2,5,2,3,4,5,2,2,2,4,2,1,2,4,2,2,3
508,NutriGrain,4,3,2,4,4,3,3,3,2,5,3,3,3,4,3,2,3,2,2,1,2,2,4,3,3
509,Vitabrit,5,5,5,4,5,4,5,5,2,4,2,4,5,2,4,5,4,3,1,1,3,3,1,1,5
509,Weetbix,5,5,5,4,5,3,4,4,1,2,2,2,4,1,5,1,3,3,3,1,3,3,2,4,4
600,Just Right,4,4,4,3,3,2,4,4,2,4,1,1,4,4,3,1,4,4,2,3,3,4,2,1,4
600,Sustain,4,3,4,3,5,2,4,4,4,3,1,2,4,4,3,1,4,4,2,4,3,3,2,1,4
601,All Bran,5,5,5,3,5,3,5,2,3,5,1,3,5,5,1,2,2,5,1,2,3,5,5,3,5
601,Komplete,5,5,5,4,4,1,5,5,5,5,1,5,5,5,1,1,5,5,1,5,2,5,5,1,5
601,Kellogg's Corn Flakes,5,3,4,5,5,3,5,4,5,5,5,5,4,5,3,1,5,2,3,1,2,5,5,1,4
602,Kellogg's Corn Flakes,4,4,3,2,4,3,4,4,2,4,2,4,3,4,3,1,3,3,3,1,3,4,1,1,3
602,Rice Bubbles,4,3,2,3,4,3,4,3,1,4,2,4,3,4,3,2,4,2,3,1,3,4,3,1,3
603,All Bran,4,3,4,2,5,2,4,4,2,1,2,3,3,3,2,2,2,2,2,1,2,3,2,3,3
603,Weetbix,4,4,4,3,5,2,4,4,2,3,2,3,4,3,2,3,3,4,2,1,3,4,2,3,4
604,Purina Muesli,4,5,4,4,5,2,5,5,3,5,5,5,5,5,2,4,3,3,1,3,3,5,1,1,5
604,Weetbix,4,5,4,3,5,3,5,4,3,5,5,4,4,5,3,3,1,1,3,1,3,4,1,1,4
605,Special K ,4,3,3,3,4,3,4,4,1,4,3,3,3,3,3,3,3,1,2,1,4,3,1,2,3
605,Kellogg's Corn Flakes,3,3,3,3,4,3,4,3,1,4,3,3,3,3,3,3,2,1,3,1,3,3,1,2,3
607,Just Right,3,3,2,4,5,2,3,1,3,4,3,2,3,4,1,2,2,2,4,2,5,2,3,2,2
608,All Bran,2,3,3,1,3,2,3,3,1,2,3,3,3,2,3,3,2,2,2,1,5,3,1,2,3
608,Weetbix,3,3,3,2,3,2,3,3,1,3,3,3,3,3,3,2,2,2,2,1,4,3,1,2,3
609,Vitabrit,4,4,3,2,5,2,4,3,1,4,3,4,4,3,2,3,1,1,1,1,2,3,2,2,3
610,Cerola Muesli,4,5,4,3,5,2,5,4,3,4,1,3,5,4,4,1,3,2,2,4,2,5,2,1,5
610,Purina Muesli,4,5,4,2,5,2,5,4,2,4,1,3,5,4,4,1,5,4,2,3,2,4,3,1,5
610,NutriGrain,4,5,4,2,4,1,5,4,3,5,2,2,4,5,3,1,2,2,2,2,1,5,3,1,5
611,NutriGrain,5,4,4,2,4,2,4,4,3,3,3,3,4,4,3,3,3,4,2,1,2,4,3,4,4
612,NutriGrain,2,1,1,4,5,4,2,2,1,2,5,3,2,1,3,3,2,1,4,1,4,1,1,4,2
613,Special K ,4,3,4,2,5,1,4,4,3,4,2,3,4,4,2,3,4,3,2,1,5,4,2,2,3
613,NutriGrain,5,4,4,3,5,2,5,5,3,5,1,1,4,5,3,3,4,4,3,1,5,4,3,2,4
614,Just Right,5,4,4,3,5,1,5,4,3,5,2,1,4,5,3,1,4,4,1,3,3,4,5,1,4
614,Purina Muesli,5,4,4,3,5,1,4,4,3,5,1,1,5,4,3,1,4,4,3,3,3,4,4,1,4
615,Special K ,4,3,4,5,5,2,3,3,3,5,3,3,4,5,3,3,5,4,3,1,3,3,3,2,3
615,All Bran,4,3,4,2,5,2,3,4,3,2,2,3,4,2,2,2,3,5,3,1,2,3,1,1,4
616,Vitabrit,4,5,4,1,5,1,4,4,3,5,1,4,4,4,1,3,3,4,1,1,1,5,3,1,4
616,Sustain,5,5,4,3,5,1,4,4,4,5,1,3,4,5,4,1,4,4,1,3,3,4,4,1,4
617,Kellogg's Corn Flakes,3,4,3,1,5,3,4,4,1,5,5,4,4,5,3,3,3,2,1,1,5,3,2,2,3
617,NutriGrain,4,4,4,2,5,3,4,4,3,5,5,4,4,5,4,3,3,3,3,1,3,3,3,3,4
617,Rice Bubbles,3,4,3,2,5,3,4,3,4,5,5,4,3,3,3,3,3,3,2,1,3,3,4,3,3
618,Vitabrit,4,4,2,1,5,1,4,3,1,5,5,2,3,4,2,4,2,1,1,1,1,3,1,2,4
618,Kellogg's Corn Flakes,3,2,2,3,5,1,4,3,4,4,4,3,2,5,4,3,3,1,2,1,5,4,3,2,2
619,Komplete,4,4,3,3,5,1,5,5,3,2,3,2,4,2,3,1,2,3,1,3,1,3,3,1,4
619,Weetbix,4,4,3,3,5,1,4,4,3,5,5,5,4,5,3,3,1,2,1,1,1,4,2,1,5
620,Weetbix,4,4,4,1,5,2,4,3,2,4,1,1,4,3,2,2,1,3,1,1,2,4,3,2,4
620,Vitabrit,4,4,4,1,5,2,4,3,2,4,1,1,4,3,2,2,1,3,1,1,2,4,3,2,4
621,Vitabrit,4,5,4,1,4,2,4,4,2,4,3,4,4,4,1,3,3,4,1,1,2,4,1,1,4
622,NutriGrain,4,4,4,3,4,1,4,4,3,5,3,3,4,4,3,2,4,4,3,2,2,4,4,1,4
623,Weetbix,5,5,5,2,5,1,4,4,2,3,3,4,5,4,2,1,1,3,1,1,3,4,1,2,4
623,NutriGrain,4,2,2,5,4,2,4,3,4,5,2,3,2,5,4,2,3,1,5,1,5,2,4,2,1
624,Vitabrit,5,4,4,1,5,1,5,5,5,5,5,4,4,4,2,4,3,4,1,1,3,3,1,3,3
624,Special K ,3,3,3,2,5,2,3,3,1,5,2,2,2,3,3,3,3,3,2,1,4,2,1,4,2
625,Weetbix,4,5,5,2,5,2,5,4,3,4,3,5,5,5,3,3,2,2,2,1,1,5,2,3,5
625,Just Right,3,5,5,4,5,3,4,5,5,5,3,2,5,5,3,2,3,3,3,3,4,5,5,2,5
626,Special K ,3,4,3,1,4,1,4,3,2,4,1,4,4,4,1,3,4,2,1,1,1,3,3,3,4
627,Purina Muesli,4,5,5,3,5,1,5,4,3,2,1,5,5,3,1,1,4,5,2,4,2,5,3,1,5
627,Cerola Muesli,4,4,4,3,5,1,4,5,3,2,1,3,4,2,1,1,2,3,2,4,2,4,3,2,5
628,NutriGrain,4,4,2,3,5,2,4,4,4,5,1,3,4,4,4,1,5,2,2,1,4,3,3,1,3
628,Cerola Muesli,5,4,4,4,5,3,5,4,5,3,1,4,4,2,4,1,3,3,2,4,3,3,4,1,4
628,Kellogg's Corn Flakes,4,4,3,3,5,2,4,2,3,4,2,3,4,4,3,1,3,2,2,1,3,3,3,1,3
629,Vitabrit,4,4,4,2,5,1,5,3,1,5,3,5,4,4,3,4,3,4,2,1,3,5,1,2,4
629,Rice Bubbles,4,3,1,3,5,2,4,3,2,5,3,5,3,5,3,2,3,1,3,1,1,4,1,2,2
630,Weetbix,4,4,3,2,3,1,4,3,2,4,3,3,4,4,2,2,1,2,1,1,3,4,1,2,4
630,NutriGrain,4,2,2,4,4,3,4,4,4,4,2,3,3,4,4,1,3,3,4,1,4,4,4,1,3
631,Kellogg's Corn Flakes,2,3,2,4,5,2,3,3,1,4,2,3,3,3,3,4,3,2,3,1,5,2,1,2,2
631,Special K ,2,3,2,4,5,2,3,3,1,4,2,3,3,3,3,4,3,2,3,1,5,2,1,2,2
632,Kellogg's Corn Flakes,5,5,5,4,5,2,5,5,5,5,1,5,5,5,5,1,5,5,2,1,1,5,5,1,5
633,Komplete,5,5,5,4,5,1,5,4,3,5,4,3,5,5,3,1,4,4,2,3,1,5,4,1,5
633,Cerola Muesli,5,5,5,4,5,1,5,4,3,5,4,3,5,5,3,1,4,4,2,3,1,5,4,1,5
634,Komplete,3,3,4,2,4,3,3,2,2,3,3,2,4,3,3,2,3,4,3,4,3,3,3,2,4
634,Rice Bubbles,3,2,2,2,4,3,3,2,2,4,3,4,2,2,3,2,1,1,3,1,4,3,2,3,3
635,Weetbix,3,3,4,1,4,2,3,3,1,4,2,4,4,3,2,4,2,4,1,1,3,4,2,2,4
635,Vitabrit,3,3,4,1,4,2,3,3,1,4,2,4,4,3,2,4,2,4,1,1,3,4,2,2,4
636,Special K ,3,3,3,2,4,2,4,3,2,3,2,3,4,3,2,2,2,3,2,1,3,3,2,2,4
636,Kellogg's Corn Flakes,3,3,2,2,4,2,3,2,1,3,2,4,3,4,3,2,2,2,3,1,3,3,2,2,3
636,NutriGrain,2,2,2,4,4,2,2,2,4,4,2,3,2,2,4,2,3,2,4,1,4,3,2,2,2
637,Purina Muesli,4,4,4,3,4,2,4,3,2,3,2,3,4,3,3,3,2,4,2,3,3,4,2,2,4
637,Weetbix,3,4,4,1,4,2,3,3,2,4,3,4,4,4,3,4,3,4,1,1,3,4,2,2,4
