"StudentID","BMW","Ford","Infiniti","Jeep","Lexus","Chrysler","Mercedes","Saab","Porsche","Volvo"
62,5,7,5,7,6,1,4,8,4,5
63,3,2,1,9,8,1,1,7,5,4
64,7,3,5,6,6,1,8,2,8,2
65,2,6,3,9,3,1,1,1,2,4
66,8,1,4,2,6,1,7,4,5,8
67,6,2,2,7,4,1,8,3,1,8
68,8,5,4,6,7,1,8,3,9,5
69,7,5,6,7,7,1,7,6,6,4
70,5,7,3,8,4,1,6,3,8,2
71,7,1,2,3,6,1,9,8,6,5
72,2,5,3,5,5,1,5,6,6,2
73,4,1,1,1,7,3,5,8,1,9
74,7,7,1,8,1,1,7,7,7,7
75,8,8,7,9,7,3,7,7,8,4
76,8,5,1,9,1,6,4,3,7,2
77,5,7,5,5,5,3,7,3,6,7
78,5,4,5,4,6,4,6,7,6,6
79,9,7,3,8,5,1,4,6,2,1
80,2,3,7,6,6,1,7,1,1,7
81,7,2,7,2,7,3,6,5,2,2
82,9,2,4,1,7,1,8,5,6,3
83,7,2,3,3,2,1,6,4,8,4
84,7,3,5,3,5,3,4,4,4,4
85,8,6,4,6,6,1,5,3,7,1
86,7,2,3,7,4,1,4,7,6,3
87,9,4,7,3,2,1,8,5,6,1
88,6,7,4,7,6,1,6,7,7,7
89,9,6,2,7,4,1,9,3,5,1
90,8,3,1,3,1,1,7,1,9,1
91,6,1,1,4,3,1,6,5,8,1
92,5,8,7,5,7,1,8,2,5,3
93,6,5,7,4,6,1,7,8,9,1
94,3,5,2,2,8,1,6,6,7,3
95,9,1,5,2,7,1,8,5,6,3
96,4,1,1,3,3,1,2,5,5,1
97,8,3,5,4,4,3,6,6,6,4
98,6,6,2,7,4,1,4,5,7,4
99,8,6,4,7,2,1,3,5,9,1
101,6,3,3,6,5,2,4,7,5,5
102,6,2,4,5,4,1,5,6,4,5
103,7,1,2,2,2,1,7,3,3,4
104,9,7,3,8,5,1,6,4,2,1
105,7,5,4,6,4,1,8,8,4,6
106,6,5,6,7,6,2,4,6,7,4
107,4,3,6,5,8,1,9,6,8,4
108,8,1,4,2,4,1,7,7,9,2
109,8,7,5,4,6,1,7,5,4,1
110,6,5,7,3,8,1,7,3,3,1
111,6,4,3,5,5,1,3,4,5,1
112,6,7,8,8,3,1,8,2,3,3
113,8,6,1,7,5,1,5,3,2,4
114,8,6,3,4,3,1,7,6,7,1
115,7,2,3,4,5,1,8,9,6,4
116,7,8,5,8,8,2,6,5,7,3
117,5,3,4,8,6,1,7,6,3,6
118,5,2,1,3,6,1,8,9,7,5
119,8,5,1,6,5,1,6,3,3,3
120,1,7,2,7,2,1,3,3,3,4
121,7,8,4,6,5,3,6,8,8,3
122,8,9,6,7,8,3,8,4,9,5
123,8,5,4,5,7,1,7,1,3,3
124,6,7,5,6,7,4,7,5,8,5
125,7,3,6,5,6,1,6,7,3,6
126,8,5,4,3,6,1,7,2,9,1
127,7,5,5,6,6,1,7,7,9,2
128,9,6,4,4,4,5,5,4,7,3
129,8,2,5,6,8,3,6,4,5,1
130,7,8,3,7,5,1,4,8,4,7
131,5,2,3,2,6,1,5,9,8,7
132,8,1,3,2,4,1,6,7,9,5
133,8,6,4,7,6,5,7,6,9,6
134,7,3,7,3,5,1,7,5,2,5
135,5,5,4,6,5,2,6,4,9,4
136,5,2,3,8,3,1,6,7,3,4
137,7,6,4,5,3,2,5,3,6,2
138,9,7,1,8,2,1,4,6,5,3
139,2,6,3,6,5,1,5,1,8,1
140,6,5,4,7,4,1,8,1,4,7
141,8,5,3,6,3,2,7,8,1,2
142,7,1,6,9,2,1,5,4,8,3
143,8,7,6,8,7,4,7,4,8,2
144,6,3,1,7,5,2,8,5,9,3
145,7,6,6,7,8,6,9,7,7,7
146,9,2,4,3,6,1,8,7,5,1
147,7,7,3,6,2,3,8,1,9,1
148,4,6,1,7,1,1,6,2,8,2
149,7,6,3,5,7,2,8,8,5,7
150,7,3,8,6,6,2,9,4,9,3
151,5,4,3,7,6,1,9,2,8,1
152,6,6,5,6,4,1,5,4,7,3
