subjnumb;mvliking;kidtrans;miniboxy;lthrbetr;secbiggr;safeimpt;buyhghnd;pricqual;prmsound;perfimpt;tkvacatn;noparkrm;homlrgst;envrminr;needbetw;suvcmpct;next2str;carefmny;shdcarpl;imprtapp;lk4whldr;kidsbulk;wntguzlr;nordtrps;stylclth;strngwrn;passnimp;twoincom;nohummer;aftrschl;accesfun;age;income;miles;numkids;female;educ;recycle
45;2;6;4;4;3;6;4;4;4;5;3;4;5;8;3;3;5;7;3;4;5;5;6;1;3;6;6;5;5;5;3;37;30;16;3;1;3;2
46;6;6;7;5;7;6;7;3;5;4;5;7;5;6;6;6;4;4;5;8;6;5;5;4;7;5;5;7;6;4;9;48;97;22;2;1;4;3
47;1;7;4;2;7;6;4;5;3;4;3;5;4;9;6;5;4;7;2;3;6;6;8;4;4;5;6;5;6;7;2;30;23;24;3;1;1;1
48;6;9;4;5;6;4;5;4;6;6;4;3;6;6;3;5;8;6;2;6;3;7;7;2;5;3;5;5;4;8;5;48;99;24;4;1;1;2
49;3;6;3;5;4;4;5;7;5;7;5;3;6;5;4;5;5;5;6;5;5;6;5;4;5;5;5;5;3;5;5;44;57;19;2;0;3;3
50;6;4;5;3;5;4;4;5;3;6;4;4;4;6;4;5;3;6;4;3;5;3;5;6;4;4;7;5;5;3;3;33;24;16;0;0;2;3
51;5;6;3;6;5;5;7;6;6;6;6;3;7;7;3;4;7;4;3;5;5;4;6;5;6;7;5;5;6;7;6;47;128;20;1;0;4;2
52;7;7;3;4;3;4;5;7;5;6;6;3;8;7;3;3;6;4;4;6;3;7;5;1;5;5;5;4;5;6;5;51;74;19;3;1;3;2
53;1;5;5;2;6;6;3;4;3;4;3;5;5;6;6;9;4;7;6;3;5;5;5;6;3;4;8;4;4;8;4;25;21;20;1;1;3;4
54;1;3;3;5;4;5;5;4;7;6;5;3;7;5;4;2;6;5;8;5;6;3;3;6;5;6;6;4;4;2;5;43;100;15;0;0;3;4
55;4;4;5;2;6;6;5;3;3;4;3;5;5;7;4;5;4;7;5;3;5;4;6;5;5;6;7;4;4;3;3;37;46;19;1;1;2;3
56;5;7;4;5;5;3;4;4;5;5;4;3;7;5;4;4;6;5;6;6;5;6;5;3;5;4;7;4;5;5;6;41;53;21;4;1;3;4
57;4;4;6;2;5;3;6;6;3;6;3;6;4;9;4;5;4;6;1;2;4;3;8;6;4;4;6;5;5;4;4;36;59;12;1;0;1;1
58;4;7;4;6;5;5;6;6;7;5;6;3;8;4;5;4;7;4;7;6;7;6;4;3;7;7;4;4;3;6;6;50;109;21;3;1;3;3
59;6;8;6;4;7;3;6;5;6;6;5;6;5;7;5;6;4;4;4;4;5;7;5;3;7;3;4;6;7;6;6;40;80;26;3;1;2;2
60;1;7;5;4;5;4;3;3;5;5;3;4;6;7;4;5;4;6;4;5;5;6;5;3;5;5;6;4;6;5;5;36;33;21;2;1;2;2
61;1;3;4;4;3;7;8;7;5;4;6;4;7;4;4;3;5;4;7;5;7;3;5;8;7;7;5;7;3;3;5;46;121;13;0;1;4;4
62;1;4;4;3;4;8;5;4;4;1;2;4;5;7;4;4;4;7;5;4;8;3;7;5;5;6;7;4;5;9;3;35;22;23;1;1;3;2
63;4;4;5;2;6;4;5;5;3;5;2;5;4;8;5;4;5;6;3;2;4;3;7;6;4;4;5;4;4;3;3;28;39;12;0;0;1;2
64;2;2;3;1;6;5;2;3;3;4;4;4;5;5;3;4;3;9;5;2;6;2;6;7;3;5;8;2;3;1;2;23;21;9;0;1;1;4
65;5;5;5;5;4;5;5;4;3;5;5;5;5;5;8;5;3;5;7;5;7;5;3;6;8;6;5;5;8;3;5;35;53;20;1;1;3;4
66;6;5;4;3;5;6;3;4;2;4;2;5;5;6;4;5;3;7;4;2;5;4;9;6;4;5;6;3;7;5;3;28;18;13;0;1;1;3
67;1;6;4;2;6;8;3;2;4;2;4;1;5;4;6;5;3;6;6;4;8;5;5;4;5;6;6;2;4;6;4;40;25;24;2;1;3;5
68;7;5;5;4;4;6;5;5;6;3;5;6;5;4;6;6;3;4;5;6;6;4;3;5;6;5;5;5;6;3;5;44;40;22;2;1;4;4
69;8;1;8;4;7;5;7;4;5;4;3;6;5;7;7;6;3;5;4;3;7;2;5;9;5;4;6;6;7;2;4;38;65;10;0;0;3;2
70;4;4;4;6;4;7;1;7;5;4;5;3;7;4;5;3;6;4;6;6;6;3;4;7;6;6;5;7;5;4;5;37;87;17;0;1;4;5
71;5;6;7;5;8;7;7;5;9;4;6;5;6;2;8;6;3;3;8;7;7;5;1;6;8;5;3;6;8;5;7;54;103;26;1;1;4;5
72;3;4;4;2;6;3;4;5;2;8;1;5;3;8;5;4;4;7;2;2;2;3;7;6;3;3;8;3;6;3;2;23;29;12;1;0;1;3
73;5;4;5;3;6;4;4;4;3;4;3;4;5;6;5;5;4;6;6;3;5;4;6;6;5;5;6;5;4;3;4;34;36;16;1;1;1;4
74;9;4;3;5;4;5;7;7;6;6;5;3;2;5;5;4;6;4;6;5;6;3;4;6;6;6;4;6;3;4;6;53;67;14;1;0;4;4
75;4;3;4;5;5;4;6;7;5;6;6;4;6;5;4;4;7;4;6;3;5;2;4;6;7;5;5;5;3;3;6;43;113;14;1;0;3;4
76;1;5;3;4;9;5;5;5;4;5;4;4;6;5;3;5;5;6;8;4;6;4;5;5;5;6;6;5;5;5;1;33;41;16;2;1;3;4
77;2;4;6;3;5;7;4;3;4;2;3;5;4;7;6;5;4;6;5;9;6;3;6;6;3;6;7;3;5;4;2;31;37;15;0;1;3;4
78;5;4;3;5;4;6;5;5;4;5;4;4;7;5;3;4;5;5;6;9;7;4;5;7;5;7;2;6;4;3;5;38;89;13;0;1;4;4
79;3;3;4;3;3;4;4;6;3;7;2;4;2;7;1;4;6;7;4;2;3;4;8;8;3;5;8;5;3;3;3;31;34;7;0;0;2;2
80;8;6;7;4;1;4;6;6;5;6;4;6;5;4;6;7;3;5;6;5;6;6;4;3;6;5;5;5;5;5;5;36;86;17;2;1;3;3
81;1;5;4;6;3;5;6;7;5;3;5;3;7;6;5;4;7;5;4;5;6;4;5;5;6;8;1;6;4;6;5;42;69;18;1;1;3;2
82;1;5;4;1;5;8;3;2;3;3;2;4;5;6;5;5;3;7;5;4;6;4;6;6;5;6;8;2;4;3;3;22;25;16;0;1;3;4
83;2;4;4;4;5;7;4;6;9;4;3;5;5;8;4;5;4;7;3;3;6;4;8;7;3;5;7;5;5;3;3;38;58;12;0;1;3;1
84;1;6;3;3;4;3;2;3;3;5;3;2;4;7;3;3;5;8;5;2;3;5;7;4;3;5;7;2;4;6;3;32;24;18;2;1;1;2
85;5;6;4;5;6;5;5;5;5;5;5;4;7;6;3;4;5;4;6;5;6;6;5;5;7;7;4;5;3;5;6;39;80;21;2;1;3;2
86;6;4;4;3;5;4;4;4;3;7;4;4;5;6;3;3;9;7;5;3;4;4;6;6;4;5;8;4;4;3;4;40;52;11;0;0;2;3
87;7;5;5;2;6;5;3;4;3;5;2;4;5;7;4;4;3;8;4;3;3;4;7;5;2;1;7;5;4;4;3;30;24;16;1;0;1;3
88;3;5;4;5;3;6;6;4;5;4;5;3;8;4;3;3;6;4;7;6;7;6;5;4;6;6;5;7;3;5;7;46;75;24;2;1;4;3
89;2;7;3;4;6;4;3;4;4;6;4;4;6;7;5;5;6;6;5;5;5;7;6;4;5;5;7;2;4;6;4;42;82;19;1;1;2;1
90;1;5;4;3;5;3;3;4;4;5;3;4;5;5;3;5;5;7;5;4;3;5;6;5;3;5;7;2;4;4;3;30;36;17;1;0;1;3
91;8;7;3;7;5;3;6;5;6;6;6;3;7;4;5;3;6;3;6;6;4;7;2;6;6;6;3;5;5;6;6;52;88;21;2;0;3;4
92;9;6;6;4;5;3;6;4;5;8;4;5;4;4;7;6;4;5;6;8;4;5;9;4;7;4;5;7;5;5;5;40;73;17;3;0;2;2
93;5;5;5;2;6;3;2;2;9;7;3;5;6;6;4;5;5;7;6;4;3;4;5;4;5;3;6;3;5;3;2;29;47;16;1;0;1;5
94;4;5;7;4;6;7;7;6;6;2;5;6;5;6;8;8;3;5;6;6;7;6;5;4;6;5;6;4;7;4;5;48;82;24;2;1;4;2
95;2;2;4;4;6;3;5;9;4;6;5;1;5;6;3;4;5;6;6;4;3;2;5;8;5;4;7;3;4;2;3;35;89;12;0;0;2;3
96;7;4;9;6;1;4;7;8;7;6;5;3;8;3;4;3;5;3;7;5;6;3;3;7;6;5;5;6;3;4;7;47;164;17;0;0;4;3
97;6;4;4;6;3;6;6;7;5;4;5;3;7;5;5;3;7;5;5;5;6;4;4;7;6;6;6;6;5;4;5;46;126;15;0;0;4;3
98;4;3;4;2;5;6;4;3;3;5;4;4;4;6;4;1;3;8;5;3;6;3;6;7;4;4;8;4;5;3;2;24;31;14;0;1;2;3
99;9;5;6;5;6;5;4;5;3;4;3;5;4;7;5;5;3;6;5;3;5;4;6;6;5;6;7;5;4;4;4;35;32;14;1;0;3;2
100;1;3;5;3;5;4;5;4;3;7;2;4;6;7;4;5;5;7;4;2;4;2;7;7;5;5;7;6;6;2;3;33;38;10;0;0;2;2
101;2;3;3;2;6;5;4;4;4;5;4;3;5;5;4;3;3;7;5;5;5;3;5;5;4;4;7;4;4;2;3;35;34;15;1;1;2;4
102;5;6;3;5;3;6;5;5;6;6;6;3;7;4;3;4;7;5;6;5;5;6;3;5;7;5;4;6;3;6;5;50;93;20;1;1;3;4
103;9;4;5;2;5;4;4;5;4;6;3;5;4;7;4;4;5;7;4;3;5;3;7;7;3;3;8;5;4;4;3;27;27;11;0;0;2;3
104;4;5;4;3;5;5;4;4;3;5;2;5;3;8;5;4;5;7;3;3;3;4;6;4;3;3;7;5;5;5;3;35;22;17;2;0;1;2
105;8;3;4;3;5;5;5;6;4;5;3;4;5;8;6;4;5;7;3;8;5;3;5;7;4;3;7;3;4;3;2;41;57;12;0;0;3;3
106;4;5;7;5;7;4;6;5;5;6;4;7;3;5;8;7;3;4;6;4;5;5;5;5;7;3;4;6;1;5;5;37;60;21;2;0;2;2
107;6;7;3;4;5;4;3;4;4;6;4;3;7;6;4;5;5;7;6;5;5;5;6;4;4;4;7;2;5;5;4;41;61;20;2;1;2;4
108;9;6;6;5;7;4;6;5;4;4;5;6;5;5;5;8;2;5;5;5;6;6;4;3;7;4;5;6;6;5;5;43;51;28;3;1;3;3
109;4;5;3;5;4;5;6;6;6;6;6;4;8;5;4;4;7;4;6;6;5;5;3;4;9;6;5;3;6;4;6;43;273;20;1;1;4;4
110;2;6;2;5;4;5;9;5;5;4;4;4;8;7;4;3;7;5;4;5;6;5;4;4;6;5;6;4;4;7;6;46;130;20;2;0;3;2
111;6;7;6;4;6;6;6;5;5;3;6;6;4;5;5;6;3;1;5;6;6;6;5;3;6;5;5;5;6;7;5;45;110;27;3;1;4;3
112;5;7;6;5;6;7;7;6;7;3;5;8;5;6;7;7;3;5;5;7;7;7;5;3;7;6;5;6;6;6;5;52;111;27;3;1;3;2
113;1;3;5;2;6;6;3;5;3;5;2;4;3;8;4;6;4;7;2;3;6;3;7;7;3;4;7;3;4;4;2;26;32;13;1;1;1;1
114;5;4;7;4;8;4;7;6;6;6;5;7;3;5;6;1;3;4;7;5;5;3;4;6;7;5;5;5;6;4;5;42;81;18;1;0;3;4
115;1;4;5;2;5;7;3;4;3;3;3;4;5;2;4;5;4;8;5;3;8;4;5;6;4;6;7;4;3;4;3;34;26;17;0;1;3;5
116;9;5;5;4;7;4;5;4;4;6;4;6;5;6;5;5;4;5;4;3;4;4;5;5;6;9;6;5;5;3;4;36;48;17;1;0;3;2
117;6;5;5;5;5;5;7;6;6;6;6;5;6;4;4;5;4;4;8;7;5;5;4;5;8;4;3;4;4;5;7;44;112;22;1;1;4;3
118;5;3;9;3;9;2;4;4;4;8;3;5;5;5;4;5;4;7;6;2;2;8;6;5;5;2;7;5;3;2;3;33;35;16;1;0;1;3
119;7;5;5;3;5;5;5;5;3;5;4;5;5;7;4;7;5;7;4;5;5;4;5;4;5;3;6;2;5;4;3;38;31;20;1;0;3;3
120;4;5;5;3;6;3;3;4;3;9;2;5;5;7;4;5;3;7;4;4;1;4;6;6;4;1;7;2;4;5;3;24;28;12;0;0;1;3
121;3;6;3;5;5;4;5;5;6;7;4;4;7;6;3;3;6;5;5;5;4;5;6;5;1;5;4;4;3;6;5;39;80;16;1;0;3;3
122;4;3;4;3;6;5;4;5;1;6;3;5;5;6;4;4;5;6;3;2;5;2;6;7;3;4;8;5;5;4;3;30;32;11;0;0;3;3
123;3;8;5;4;6;4;5;4;5;7;5;6;5;6;6;7;4;6;5;6;5;7;6;3;7;3;5;5;6;7;5;45;47;26;3;1;2;2
124;4;4;3;4;3;3;5;5;6;6;4;4;6;5;4;4;6;4;6;5;3;3;5;7;6;5;5;4;3;4;6;43;68;10;0;0;3;4
125;6;2;5;3;6;6;5;5;9;4;3;6;4;6;5;5;4;6;4;5;7;2;5;7;5;6;7;5;6;2;2;39;49;11;0;0;3;3
126;1;4;6;3;7;4;4;4;4;6;4;5;5;5;7;5;4;6;5;4;5;5;5;6;6;6;6;4;6;3;3;41;34;16;1;1;2;4
127;5;3;3;3;4;5;4;5;5;7;4;9;6;6;5;3;5;6;4;3;4;3;5;8;4;3;7;3;5;3;4;32;56;14;0;0;2;4
128;3;4;4;4;6;4;4;3;3;4;4;6;5;6;6;3;4;6;6;3;5;3;6;6;5;4;6;4;4;4;3;36;27;13;1;1;2;3
129;8;5;6;5;7;5;7;5;6;5;7;5;5;3;7;8;4;3;8;5;5;6;3;5;8;4;3;6;6;4;6;54;102;22;2;1;4;5
130;5;5;5;3;5;4;3;4;2;4;3;5;4;7;5;5;3;9;5;4;4;4;7;5;9;4;8;4;6;3;3;32;33;15;2;1;1;3
131;1;5;3;6;5;6;5;4;4;4;6;4;6;4;4;3;5;5;6;5;5;5;4;5;5;6;5;5;4;4;5;43;52;22;1;1;3;3
132;7;5;4;5;5;6;6;5;4;4;9;4;6;5;4;5;5;5;5;6;7;5;5;6;6;6;6;6;4;5;5;42;70;24;1;1;4;2
133;9;6;4;6;4;6;6;7;5;5;5;3;7;7;3;3;6;5;4;5;6;5;6;5;6;8;4;1;5;6;6;50;124;19;1;0;3;1
134;8;4;6;4;5;5;5;6;4;6;2;5;4;8;4;4;4;6;2;5;4;4;7;7;4;5;7;5;6;4;3;42;58;10;0;0;3;2
135;9;3;5;3;6;3;6;6;5;8;4;4;5;8;5;6;5;6;3;3;1;3;6;6;9;3;7;6;4;2;4;46;131;13;0;0;1;1
136;1;2;3;6;3;4;1;6;6;8;6;4;7;3;3;4;6;3;7;5;5;3;3;7;8;5;4;7;5;3;6;31;78;13;0;0;3;5
137;9;3;3;6;3;2;9;9;7;8;1;9;7;6;3;3;7;3;5;5;4;4;4;7;7;4;4;7;4;3;6;46;134;11;0;0;3;2
138;5;4;5;5;4;7;7;7;7;4;5;4;7;6;6;5;6;4;5;5;1;4;6;6;6;7;5;8;4;4;3;56;129;18;1;1;4;2
139;8;5;7;3;7;8;5;4;4;4;4;7;5;3;6;6;2;4;7;5;7;4;3;5;6;5;5;5;5;5;5;31;39;22;2;1;4;4
140;6;4;6;4;8;4;7;5;5;6;5;6;5;5;7;6;4;3;6;5;6;5;5;6;6;5;1;7;5;4;5;43;73;19;1;0;3;3
141;6;5;7;3;7;5;5;5;5;4;8;6;3;5;6;7;2;5;5;5;5;4;4;4;5;4;5;6;8;3;4;37;35;22;2;1;3;4
142;5;4;3;6;4;6;5;7;6;5;6;3;8;3;3;3;7;5;7;5;8;4;3;7;7;7;4;6;1;4;9;46;181;17;0;1;4;4
143;5;3;5;3;7;4;5;1;3;6;3;5;3;8;7;5;4;6;4;4;5;3;6;6;4;4;7;5;5;3;3;28;26;14;0;0;2;3
144;7;4;4;3;4;6;5;5;4;4;4;4;1;8;5;5;4;6;4;3;4;4;6;7;3;6;6;6;4;3;4;34;45;13;1;1;2;2
145;7;3;5;5;5;7;7;4;5;4;5;4;6;4;7;5;4;2;7;3;8;4;3;6;6;6;6;4;7;3;5;47;40;19;0;0;4;5
146;3;6;4;2;6;8;5;4;2;4;1;4;4;9;5;5;4;6;1;3;8;5;8;5;2;7;7;6;6;5;3;34;24;15;1;1;3;1
147;1;7;6;5;6;6;6;5;7;3;5;7;6;4;1;7;4;4;6;6;6;6;4;3;7;6;3;5;7;6;6;43;68;23;3;1;3;3
148;1;6;6;4;5;8;6;4;5;2;6;5;5;5;7;6;5;4;7;7;8;7;5;6;6;7;4;6;7;6;6;47;65;25;2;1;4;3
149;4;5;5;2;5;6;5;9;3;3;3;5;5;6;5;5;5;6;4;3;6;4;7;6;5;7;6;5;7;6;4;39;71;16;0;1;3;2
150;3;4;5;3;5;4;5;7;5;5;4;6;5;6;4;4;3;6;5;3;5;3;1;5;5;4;7;4;5;4;3;33;72;17;1;0;3;4
151;5;5;4;6;5;4;6;5;6;6;5;4;5;4;6;4;5;4;6;4;5;4;3;5;7;4;5;7;5;4;6;44;64;15;1;0;3;4
152;4;3;5;2;6;4;3;1;2;5;2;4;4;6;4;6;3;7;7;4;5;2;4;6;5;5;8;4;5;3;3;23;21;13;0;0;2;5
153;9;6;6;5;7;4;7;5;6;6;5;7;5;6;7;6;4;5;3;4;4;5;6;3;5;4;5;6;5;6;5;53;53;24;2;0;3;1
154;6;5;6;5;6;4;7;8;6;5;5;5;6;6;6;6;4;4;5;4;5;4;5;6;6;5;5;7;5;5;5;38;105;21;1;0;3;2
155;1;4;3;4;4;6;5;6;6;5;5;3;7;5;3;3;5;5;5;1;7;3;5;5;6;8;6;4;3;3;4;42;66;20;1;1;3;2
156;3;3;4;2;6;7;5;5;4;2;3;4;5;7;6;5;1;7;3;3;7;2;6;6;3;6;2;3;7;4;3;24;24;17;1;1;2;3
157;9;7;6;6;7;6;8;8;6;4;6;7;4;7;7;7;4;4;3;6;6;7;6;3;8;4;4;6;9;6;6;50;140;26;3;1;4;1
158;4;4;4;4;6;4;3;3;3;6;3;4;5;4;6;5;3;7;6;4;3;4;6;7;4;4;8;3;4;3;3;26;35;14;0;0;2;4
159;7;4;4;5;3;4;7;7;5;5;4;3;7;6;3;3;6;5;4;6;4;4;5;6;5;4;5;7;5;4;4;45;79;12;0;0;4;2
160;7;5;6;5;7;4;8;8;6;5;5;5;5;6;5;5;5;5;3;6;5;5;7;4;6;5;4;6;1;5;5;56;128;18;2;0;2;1
161;7;6;7;5;6;4;5;4;6;6;5;7;4;6;7;6;2;1;5;5;5;4;5;5;4;4;4;5;7;5;6;40;66;21;2;0;3;1
162;4;3;3;5;4;3;6;1;6;8;5;4;7;5;4;3;6;5;7;5;4;4;4;7;5;4;6;5;9;2;6;42;72;15;1;0;3;5
163;9;3;6;5;6;3;6;6;6;6;5;7;5;3;6;8;3;4;8;4;5;3;3;6;8;3;5;6;7;3;6;42;76;16;1;0;3;5
164;2;6;4;2;5;3;2;3;3;6;3;3;5;6;5;4;5;7;4;2;3;4;6;4;4;3;6;3;5;5;3;31;27;18;1;0;1;4
165;6;6;4;5;6;5;5;4;6;5;4;5;7;4;7;5;5;4;7;5;6;6;4;4;6;5;4;6;4;6;6;41;70;23;2;1;3;5
166;6;1;5;1;4;5;4;4;3;3;3;4;5;6;6;5;4;7;6;1;5;1;6;9;3;4;9;4;4;9;2;30;23;15;0;0;2;4
167;6;4;4;6;4;6;6;5;6;6;6;2;8;4;5;3;9;4;6;5;6;3;4;7;7;6;5;5;5;4;6;54;189;15;0;0;4;5
168;9;4;3;5;4;3;6;6;5;6;6;4;7;5;3;3;4;4;6;6;4;4;4;7;6;3;6;5;5;4;5;44;102;16;0;0;3;4
169;1;6;4;3;5;6;4;4;4;5;5;3;6;7;5;3;6;6;4;3;5;4;6;6;5;6;6;3;3;5;1;31;46;15;1;1;2;2
170;5;5;3;7;2;5;6;8;5;5;5;2;6;8;4;3;7;5;4;5;6;4;5;5;5;6;5;5;4;5;6;53;113;17;1;0;2;1
171;8;2;5;5;6;6;8;7;7;5;5;6;6;5;5;6;6;2;6;6;6;2;4;8;6;7;6;5;6;3;7;55;133;17;0;0;4;4
172;1;5;4;4;6;6;4;3;5;3;3;4;6;7;4;5;4;7;5;4;6;5;6;6;3;5;7;3;3;5;4;35;31;17;0;1;2;4
173;2;5;4;2;4;6;3;4;4;5;3;5;4;8;5;4;4;8;4;5;5;4;7;6;4;5;7;3;4;5;5;30;45;16;0;1;2;2
174;9;6;6;4;8;6;6;5;8;5;5;6;4;7;7;6;4;5;4;4;6;6;7;6;5;5;3;1;6;6;5;50;89;20;1;1;2;1
